"Date","CO2_type_1","CO2_type_2","Demand_value"
"2019-02-21 00:00:00","330200.375","402891.59375",781136
"2019-02-22 00:00:00","308278.40625","393370.6875",771083
"2019-02-23 00:00:00","258132.78125","397113",689176
"2019-02-24 00:00:00","242042.484375","372414.71875",637453
"2019-02-25 00:00:00","313236.96875","383542.59375",750832
"2019-02-26 00:00:00","292670.9375","399482.03125",759698
"2019-02-27 00:00:00","282835.21875","406766.53125",756325
"2019-02-28 00:00:00","286728.03125","394823.3125",742210
"2019-03-01 00:00:00","279930.875","387229.1875",747742
"2019-03-02 00:00:00","197900.71875","435395.78125",670243
"2019-03-03 00:00:00","165496.390625","461938.46875",621445
"2019-03-04 00:00:00","189091.46875","524007.65625",729814
"2019-03-05 00:00:00","220267.71875","443180.21875",745164
"2019-03-06 00:00:00","169217.65625","595448.625",767458
"2019-03-07 00:00:00","230964.625","484785",758178
"2019-03-08 00:00:00","267639.71875","387191.1875",748569
"2019-03-09 00:00:00","210642.328125","405129.78125",671315
"2019-03-10 00:00:00","177796.6875","425784.90625",617759
"2019-03-11 00:00:00","239867.09375","449429.875",726454
"2019-03-12 00:00:00","223909.40625","468765.34375",743155
"2019-03-13 00:00:00","181520.875","522962",753373
"2019-03-14 00:00:00","236443.359375","475071.84375",753976
"2019-03-15 00:00:00","257757.21875","439461.46875",738754
"2019-03-16 00:00:00","201819.046875","419918.625",660072
"2019-03-17 00:00:00","157456.078125","484551.5",610230
"2019-03-18 00:00:00","207244.015625","465928.78125",708116
"2019-03-19 00:00:00","190030.0625","479651.34375",707250
"2019-03-20 00:00:00","221454.21875","481351.46875",755635
"2019-03-21 00:00:00","249317.125","448324.25",758932
"2019-03-22 00:00:00","253611.84375","434494.59375",749138
"2019-03-23 00:00:00","221637.75","398382.1875",669633
"2019-03-24 00:00:00","187957.796875","407208.46875",611820
"2019-03-25 00:00:00","189829.375","529846.125",717074
"2019-03-26 00:00:00","162615.046875","571496.875",732395
"2019-03-27 00:00:00","197390.703125","506424.21875",735314
"2019-03-28 00:00:00","241080.234375","482325.375",736120
"2019-03-29 00:00:00","257662.0625","452540.15625",733688
"2019-03-30 00:00:00","247082.625","397174.90625",661273
"2019-03-31 00:00:00","248515.546875","327372.84375",595456
"2019-04-01 00:00:00","332752.90625","332922.78125",728854
"2019-04-02 00:00:00","314849.5","350896.96875",740720
"2019-04-03 00:00:00","232650.125","447247.6875",743726
"2019-04-04 00:00:00","275909.46875","432684.53125",746532
"2019-04-05 00:00:00","256095.3125","443241.8125",758884
"2019-04-06 00:00:00","178476.484375","486168.28125",683346
"2019-04-07 00:00:00","184147.8125","440918.28125",635743
"2019-04-08 00:00:00","261135.3125","429601.8125",745947
"2019-04-09 00:00:00","227257.890625","483428.5",762515
"2019-04-10 00:00:00","253756.453125","459203.65625",759373
"2019-04-11 00:00:00","274032.6875","441295.34375",754594
"2019-04-12 00:00:00","273146.15625","416369.9375",737504
"2019-04-13 00:00:00","251269.875","344455.84375",658751
"2019-04-14 00:00:00","223869.890625","348322.75",606715
"2019-04-15 00:00:00","234624.921875","431120.84375",705652
"2019-04-16 00:00:00","297761.625","372760.46875",712913
"2019-04-17 00:00:00","211006.671875","489849.03125",706896
"2019-04-18 00:00:00","242877.140625","378841.4375",633645
"2019-04-19 00:00:00","183786.546875","435203.53125",584929
"2019-04-20 00:00:00","167169.8125","473809.875",598281
"2019-04-21 00:00:00","183219.4375","388803.5",575851
"2019-04-22 00:00:00","247861.84375","360275.25",622893
"2019-04-23 00:00:00","214291.0625","451732.46875",691440
"2019-04-24 00:00:00","171113.640625","557068.375",737863
"2019-04-25 00:00:00","166326.265625","565281.5",739948
"2019-04-26 00:00:00","214726","489545.875",722352
"2019-04-27 00:00:00","209625.5625","392750.875",641477
"2019-04-28 00:00:00","191995.6875","399087.375",580035
"2019-04-29 00:00:00","282647.96875","367744.0625",681641
"2019-04-30 00:00:00","277634.9375","367920.25",693188
"2019-05-01 00:00:00","194918.6875","394680.75",588784
"2019-05-02 00:00:00","214186.53125","467037.34375",674320
"2019-05-03 00:00:00","236106.296875","444672.15625",696475
"2019-05-04 00:00:00","201358.5625","435825.625",634766
"2019-05-05 00:00:00","170663.625","451156.4375",585505
"2019-05-06 00:00:00","287354","353523.03125",691903
"2019-05-07 00:00:00","278189.34375","418341.9375",715282
"2019-05-08 00:00:00","177079.671875","557314.375",720383
"2019-05-09 00:00:00","224555.421875","484667.78125",719680
"2019-05-10 00:00:00","234103","457877.3125",714706
"2019-05-11 00:00:00","237571.734375","395259.78125",642894
"2019-05-12 00:00:00","171405.21875","447793.46875",589066
"2019-05-13 00:00:00","241774.171875","448343.5625",693194
"2019-05-14 00:00:00","288804.71875","376194.96875",716086
"2019-05-15 00:00:00","296225.1875","366272.375",714404
"2019-05-16 00:00:00","277701.65625","389779.625",723608
"2019-05-17 00:00:00","206566.5625","530355.5625",708066
"2019-05-18 00:00:00","231169.625","399287.90625",633582
"2019-05-19 00:00:00","237231.625","380774.8125",588761
"2019-05-20 00:00:00","311770.65625","330609.21875",693266
"2019-05-21 00:00:00","321275.90625","312947.875",712268
"2019-05-22 00:00:00","339105.8125","311802.53125",720423
"2019-05-23 00:00:00","332254.59375","313457.8125",721033
"2019-05-24 00:00:00","270250.71875","415463.8125",717689
"2019-05-25 00:00:00","215423.21875","435740.78125",641713
"2019-05-26 00:00:00","209749.96875","405634.84375",586296
"2019-05-27 00:00:00","285292.40625","394644.9375",703430
"2019-05-28 00:00:00","271447.3125","449609",723790
"2019-05-29 00:00:00","276280.0625","439054.84375",722529
"2019-05-30 00:00:00","312098.65625","369870.625",719644
"2019-05-31 00:00:00","326381.40625","352912",720746
"2019-06-01 00:00:00","302365.375","331142.53125",657043
"2019-06-02 00:00:00","290368.96875","340561.96875",610076
"2019-06-03 00:00:00","351749.5625","340909.84375",727171
"2019-06-04 00:00:00","332489.4375","411414.96875",743770
"2019-06-05 00:00:00","301838.96875","430029.1875",727971
"2019-06-06 00:00:00","279526.34375","440171.125",718944
"2019-06-07 00:00:00","274937.28125","451278.15625",716112
"2019-06-08 00:00:00","277031.4375","372558.25",649040
"2019-06-09 00:00:00","240330.359375","370706.28125",598235
"2019-06-10 00:00:00","249924.453125","417158.53125",692918
"2019-06-11 00:00:00","266624.375","429003",717556
"2019-06-12 00:00:00","301388.96875","380429.59375",721636
"2019-06-13 00:00:00","293688.3125","401314.9375",725089
"2019-06-14 00:00:00","300913.9375","392227.5625",720655
"2019-06-15 00:00:00","10358.357421875","16595.703125",27132.3
"2020-01-01 00:00:00","202459.671875","392970.34375",574721
"2020-01-02 00:00:00","251804.328125","456072.5",723478
"2020-01-03 00:00:00","236659.03125","449136.0625",754804
"2020-01-04 00:00:00","194786.546875","477828.78125",702360
"2020-01-05 00:00:00","199303.8125","412291.15625",651928
"2020-01-06 00:00:00","215066.4375","399696.21875",630113
"2020-01-07 00:00:00","300426.46875","437061.4375",788898
"2020-01-08 00:00:00","300189.0625","433793.5625",819959
"2020-01-09 00:00:00","266283.9375","481219",820656
"2020-01-10 00:00:00","247336.921875","526037.875",814632
"2020-01-11 00:00:00","249304.046875","413991.3125",732418
"2020-01-12 00:00:00","257650.8125","391910.75",693268
"2020-01-13 00:00:00","294904.46875","471868.9375",828985
"2020-01-14 00:00:00","218846.109375","533200.0625",844324
"2020-01-15 00:00:00","247541.46875","512941.65625",832846
"2020-01-16 00:00:00","239573.5625","543293.125",822608
"2020-01-17 00:00:00","246119.53125","527583.6875",807399
"2020-01-18 00:00:00","207929.921875","473973.5",729480
"2020-01-19 00:00:00","164948.328125","623219",689630
"2020-01-20 00:00:00","213593.953125","666357.25",845905
"2020-01-21 00:00:00","261115.203125","593926.5",862094
"2020-01-22 00:00:00","303341.8125","504282.0625",841221
"2020-01-23 00:00:00","356472.625","417069.5",829231
"2020-01-24 00:00:00","362985.875","401854.96875",820898
"2020-01-25 00:00:00","288649.6875","368835.46875",734065
"2020-01-26 00:00:00","216653.40625","437601.78125",676177
"2020-01-27 00:00:00","239177.84375","563611.875",807055
"2020-01-28 00:00:00","245027.40625","530467.1875",805945
"2020-01-29 00:00:00","255730.046875","518545.65625",791110
"2020-01-30 00:00:00","235388.859375","524439.3125",776975
"2020-01-31 00:00:00","231992.46875","498832.71875",764992
"2020-02-01 00:00:00","168571.484375","532455.3125",681452
"2020-02-02 00:00:00","168162.25","468994.03125",624989
"2020-02-03 00:00:00","246784.28125","451967.28125",729342
"2020-02-04 00:00:00","232232.5625","505301",747766
"2020-02-05 00:00:00","240218.4375","502353.5625",758854
"2020-02-06 00:00:00","259761.453125","494317.5625",769763
"2020-02-07 00:00:00","270178.46875","453053.0625",772479
"2020-02-08 00:00:00","240813.609375","391140.96875",698201
"2020-02-09 00:00:00","188116.140625","471035.59375",646778
"2020-02-10 00:00:00","205984.71875","551000.8125",749451
"2020-02-11 00:00:00","266409.1875","445355.78125",760646
"2020-02-12 00:00:00","292200.875","402708.96875",766014
"2020-02-13 00:00:00","257458.1875","466572.71875",759505
"2020-02-14 00:00:00","272296.71875","435069.90625",753815
"2020-02-15 00:00:00","203863.96875","440934.65625",675763
"2020-02-16 00:00:00","163187.703125","491760.59375",625446
"2020-02-17 00:00:00","215896.171875","492132.53125",739635
"2020-02-18 00:00:00","251415.890625","456574.25",766043
"2020-02-19 00:00:00","266355.8125","447067.96875",764240
"2020-02-20 00:00:00","252744.65625","469346.78125",763299
"2020-02-21 00:00:00","257336.015625","457172.34375",753732
"2020-02-22 00:00:00","226699.8125","404887",672049
"2020-02-23 00:00:00","208291.171875","388971.15625",620837
"2020-02-24 00:00:00","253820.265625","430768.65625",730820
"2020-02-25 00:00:00","182046.4375","521390.71875",743806
"2020-02-26 00:00:00","185386.25","582334.5625",753410
"2020-02-27 00:00:00","189553.171875","612680.375",751124
"2020-02-28 00:00:00","204309.625","507783.1875",728274
"2020-02-29 00:00:00","129305.609375","560075.0625",670250
"2020-03-01 00:00:00","124696.125","583098.4375",626587
"2020-03-02 00:00:00","137436.0625","636733.5625",740452
"2020-03-03 00:00:00","144010.109375","660705.9375",767922
"2020-03-04 00:00:00","168534.328125","626648.4375",757560
"2020-03-05 00:00:00","142299.90625","672015.5",752879
"2020-03-06 00:00:00","138255.3125","706640.3125",756351
"2020-03-07 00:00:00","151293.578125","571785.0625",681845
"2020-03-08 00:00:00","144553.234375","524007.75",628758
"2020-03-09 00:00:00","181787.03125","599449.125",738706
"2020-03-10 00:00:00","187439.546875","533626.9375",745855
"2020-03-11 00:00:00","217871.265625","460930.90625",740762
"2020-03-12 00:00:00","213870.03125","460045.15625",736364
"2020-03-13 00:00:00","192808.609375","502651.9375",728092
"2020-03-14 00:00:00","197938.15625","418593",644700
"2020-03-15 00:00:00","173543.84375","471927",598723
"2020-03-16 00:00:00","156895.75","586511.4375",702588
"2020-03-17 00:00:00","144904.28125","555607.9375",703780
"2020-03-18 00:00:00","157767.546875","479340.875",683062
"2020-03-19 00:00:00","155859.5625","462832.03125",640186
"2020-03-20 00:00:00","163800.96875","464949.34375",645430
"2020-03-21 00:00:00","169703.375","399103.8125",610836
"2020-03-22 00:00:00","169963.578125","366437.1875",581606
"2020-03-23 00:00:00","168260.625","450439",651290
"2020-03-24 00:00:00","169190.5","461082.78125",662046
"2020-03-25 00:00:00","174181.8125","416853.09375",662589
"2020-03-26 00:00:00","150760.390625","529870.1875",658767
"2020-03-27 00:00:00","164378.765625","452010.3125",664825
"2020-03-28 00:00:00","164943.984375","393945.90625",603212
"2020-03-29 00:00:00","151754.984375","442642.71875",537245
"2020-03-30 00:00:00","171419.140625","504581.53125",604448
"2020-03-31 00:00:00","171084.375","483509.6875",604859
"2020-04-01 00:00:00","181530.828125","405307.84375",598365
"2020-04-02 00:00:00","179220.015625","430277.78125",597333
"2020-04-03 00:00:00","184806.375","444160.125",583171
"2020-04-04 00:00:00","170209.484375","446138.25",541558
"2020-04-05 00:00:00","167229.484375","433590.28125",517700
"2020-04-06 00:00:00","187742.5","364127.28125",567321
"2020-04-07 00:00:00","181891.3125","360822.625",566454
"2020-04-08 00:00:00","178663.28125","356080.53125",554076
"2020-04-09 00:00:00","182624.375","345941.03125",529108
"2020-04-10 00:00:00","189803.453125","342544.03125",509729
"2020-04-11 00:00:00","171364.25","341670.03125",517352
"2020-04-12 00:00:00","169304.5625","372362.71875",499752
"2020-04-13 00:00:00","173051.890625","354179.75",536625
"2020-04-14 00:00:00","158021.421875","397443.78125",582375
"2020-04-15 00:00:00","157362.5","463374.46875",601814
"2020-04-16 00:00:00","138492.203125","492878.8125",601730
"2020-04-17 00:00:00","136366.953125","457263",596044
"2020-04-18 00:00:00","154537.125","381232.71875",550200
"2020-04-19 00:00:00","152507.375","382035.71875",517179
"2020-04-20 00:00:00","138837.5","450139.6875",582802
"2020-04-21 00:00:00","139026.640625","494077.5",607392
"2020-04-22 00:00:00","144628.140625","483819.84375",606143
"2020-04-23 00:00:00","148511.125","438434.71875",597168
"2020-04-24 00:00:00","150911.15625","444459.4375",592162
"2020-04-25 00:00:00","161350.796875","357166.1875",553588
"2020-04-26 00:00:00","157092.0625","377582.21875",519878
"2020-04-27 00:00:00","156476.296875","440003.46875",588388
"2020-04-28 00:00:00","145612.546875","495403.1875",599415
"2020-04-29 00:00:00","127834.0078125","546484.375",597619
"2020-04-30 00:00:00","117450.34375","568606.3125",590233
"2020-05-01 00:00:00","122628.3515625","529347.5",523008
"2020-05-02 00:00:00","147112.703125","452451.15625",526920
"2020-05-03 00:00:00","157967.203125","350207.46875",507065
"2020-05-04 00:00:00","147020.984375","497472.375",583062
"2020-05-05 00:00:00","146840.921875","439057.84375",605000
"2020-05-06 00:00:00","158825.59375","398619.59375",608228
"2020-05-07 00:00:00","153589.625","451353.5",603849
"2020-05-08 00:00:00","151276.578125","424148.4375",596940
"2020-05-09 00:00:00","177394.28125","375521.34375",546886
"2020-05-10 00:00:00","154796.875","404125.65625",513241
"2020-05-11 00:00:00","147480.5","451022.5",590740
"2020-05-12 00:00:00","175886","372166.53125",616248
"2020-05-13 00:00:00","175093.625","370878.3125",615176
"2020-05-14 00:00:00","156542.859375","403823.75",618387
"2020-05-15 00:00:00","146458","444578",606696
"2020-05-16 00:00:00","149683.21875","457594.84375",553431
"2020-05-17 00:00:00","153449.09375","390206.75",516969
"2020-05-18 00:00:00","173472.34375","396109.03125",594321
"2020-05-19 00:00:00","188064.15625","395366.3125",612679
"2020-05-20 00:00:00","195109.1875","353426.9375",620107
"2020-05-21 00:00:00","197166.953125","353920.21875",627706
"2020-05-22 00:00:00","198551.96875","359884.84375",630603
"2020-05-23 00:00:00","155717.625","424367.28125",579189
"2020-05-24 00:00:00","139350.25","429378.15625",538098
"2020-05-25 00:00:00","182277.359375","426392.40625",624823
"2020-05-26 00:00:00","167800.640625","465675.96875",640116
"2020-05-27 00:00:00","187065.609375","443229.53125",643185
"2020-05-28 00:00:00","209566.765625","409343.625",639557
"2020-05-29 00:00:00","224210.765625","378739",638401
"2020-05-30 00:00:00","188172.84375","370176.90625",579806
"2020-05-31 00:00:00","196204.5625","324436",536343
"2020-06-01 00:00:00","249705.765625","324871.40625",629145
"2020-06-02 00:00:00","260534.734375","330913.59375",656727
"2020-06-03 00:00:00","268775.96875","368826.59375",664154
"2020-06-04 00:00:00","208016.078125","470808.40625",652985
"2020-06-05 00:00:00","221155.96875","424366.40625",642918
"2020-06-06 00:00:00","210499.75","386395.5",585374
"2020-06-07 00:00:00","173855.671875","456774.15625",538702
"2020-06-08 00:00:00","214559.765625","453674.59375",623672
"2020-06-09 00:00:00","226810.9375","446654.3125",644278
"2020-06-10 00:00:00","239420.328125","403755.4375",655647
"2020-06-11 00:00:00","196242.421875","476097.96875",652471
"2020-06-12 00:00:00","160242.90625","531540.875",649040
"2020-06-13 00:00:00","176195.5625","454318.65625",584371
"2020-06-14 00:00:00","195394.8125","365710.4375",544088
"2020-06-15 00:00:00","8984.134765625","12564.2880859375",23045.7
